3.954246052815748591e-01,9.928224423435426382e-02,2.982002917614021142e-01
3.954551003492875472e-01,9.929129769204350642e-02,2.982074846212189878e-01
3.955091138914832993e-01,9.928441066461370090e-02,2.981817414760190021e-01
3.955794636812005050e-01,9.926635956029905561e-02,2.981330268488365798e-01
3.956610754485897496e-01,9.924051414830216411e-02,2.980683824996489539e-01
3.957538877897155416e-01,9.920686814881274351e-02,2.979878936613228335e-01
3.958566370100851106e-01,9.916622125816200450e-02,2.978933141208442437e-01
3.959737415541060290e-01,9.911556205008167919e-02,2.977785071425608776e-01
3.961011172124859758e-01,9.905753384548267315e-02,2.976491358947018773e-01
3.962358771197506679e-01,9.899400697421766038e-02,2.975092084900992639e-01
3.963759805111726209e-01,9.892630593820664342e-02,2.973615627699263131e-01
3.965199843680041192e-01,9.885536950060203054e-02,2.972082089476887901e-01
3.966668678888611854e-01,9.878186365976159011e-02,2.970505718564222519e-01
3.968159084704864226e-01,9.870626145202673896e-02,2.968896622495578730e-01
3.969665941015906863e-01,9.862889936221855280e-02,2.967261979501134572e-01
3.971185614883014914e-01,9.855001721860934261e-02,2.965606895394827802e-01
3.972715523582542874e-01,9.846978641778106334e-02,2.963935009692998945e-01
3.974253826049516380e-01,9.838832989828311115e-02,2.962248924372972159e-01
3.975799205004659775e-01,9.830573627789201963e-02,2.960550507180796376e-01
3.977350713119686132e-01,9.822206986128848016e-02,2.958841106199643911e-01
3.978907664401578614e-01,9.813737772517275304e-02,2.957121701644617739e-01
3.980469557505454392e-01,9.805169473470665142e-02,2.955393013250692258e-01
3.982036021590979469e-01,9.796504709551739909e-02,2.953655576246033143e-01
3.983606778095472034e-01,9.787745486891363811e-02,2.951909795101427814e-01
3.985181613744628315e-01,9.778893375303226998e-02,2.950155981557537888e-01
3.986760361497175831e-01,9.769949634421951079e-02,2.948394381529519936e-01
3.988342887090934874e-01,9.760915303037145940e-02,2.946625194142888371e-01
3.989929079543488299e-01,9.751791262365834545e-02,2.944848585202581859e-01
3.991518844444769121e-01,9.742578280869987339e-02,2.943064696723738383e-01
3.993112099220718636e-01,9.733277046004779054e-02,2.941273653676305111e-01
3.994708769788498093e-01,9.723888186711968085e-02,2.939475568758510571e-01
3.996308788194120609e-01,9.714412289358856367e-02,2.937670545775841191e-01
3.997912090943633867e-01,9.704849909035379030e-02,2.935858682033438694e-01
3.999518617823970557e-01,9.695201577564008244e-02,2.934040070030534131e-01
4.001128311069471200e-01,9.685467809181130816e-02,2.932214798661048616e-01
4.002741114772456754e-01,9.675649104569729320e-02,2.930382954064851830e-01
4.004356974466101171e-01,9.665745953723839379e-02,2.928544620231828266e-01
4.005975836828952197e-01,9.655758837985992105e-02,2.926699879431042817e-01
4.007597649475321822e-01,9.645688231498533716e-02,2.924848812516183116e-01
4.009222360806334873e-01,9.635534602239947954e-02,2.922991499143416383e-01
4.010849919903763383e-01,9.625298412767012424e-02,2.921128017927293596e-01
4.012480276454131745e-01,9.614980120748742309e-02,2.919258446552794872e-01
4.014113380694130373e-01,9.604580179352593949e-02,2.917382861856323562e-01
4.015749183371152276e-01,9.594099037526090945e-02,2.915501339884727927e-01
4.017387635714446681e-01,9.583537140204312355e-02,2.913613955938747502e-01
4.019028689413819966e-01,9.572894928464670272e-02,2.911720784605428269e-01
